originalTitle,world_revenue,distributor,opening_theaters,budget,MPAA,release_days,startYear,runtimeMinutes,genres_y,averageRating,numVotes,ordering,category,primaryName
Vice,76073488,Annapurna Pictures,2442.0,76073488.0,R,372,2018,132.0,"Biography,Comedy,Drama",7.2,150521,9,producer,Kevin J. Messick
The Courier,26001227,Roadside Attractions,1433.0,26000000.0,PG-13,288,2020,112.0,"Drama,History,Thriller",7.2,63886,9,producer,Ben Browning
A Quiet Place,340939361,Paramount Pictures,3508.0,17000000.0,PG-13,270,2018,90.0,"Drama,Horror,Sci-Fi",7.5,536678,9,producer,Brad Fuller
Green Book,321752656,Universal Pictures,25.0,23000000.0,PG-13,411,2018,130.0,"Biography,Comedy,Drama",8.2,499302,9,producer,Charles B. Wessler
Black Christmas,18529730,Universal Pictures,2625.0,5000000.0,PG-13,385,2021,54.0,"Horror,Mystery,Thriller",3.2,25,4,actor,Michael George
"Lyle, Lyle, Crocodile",104060734,Sony Pictures Entertainment (SPE),4350.0,50000000.0,PG,115,2022,106.0,"Adventure,Animation,Comedy",6.1,6820,9,producer,Hutch Parker
The Last Black Man in San Francisco,4637830,A24,7.0,4637830.0,R,208,2019,121.0,Drama,7.3,20047,9,writer,Prentice Sanders
Five Feet Apart,92554209,Lionsgate,2803.0,7000000.0,PG-13,292,2019,116.0,"Drama,Romance",7.2,70037,9,composer,Brian Tyler
Stan & Ollie,24420923,Sony Pictures Classics,5.0,24420923.0,PG,369,2018,98.0,"Biography,Comedy,Drama",7.2,38117,9,composer,Rolfe Kent
F3: Fun and Frustration,9849193,Independent Indian,400.0,295216.0,R,248,2022,148.0,"Comedy,Family,Romance",4.7,2070,9,composer,Devi Sri Prasad
Welcome to Marwen,13061491,Universal Pictures,1911.0,13061491.0,PG-13,376,2018,116.0,"Biography,Comedy,Drama",6.2,24570,9,producer,Steve Starkey
Cry Macho,16510734,Warner Bros.,3967.0,14704912.0,PG-13,112,2021,104.0,Drama,5.7,28402,9,producer,Albert S. Ruddy
Ready Player One,582890172,Warner Bros.,4234.0,175000000.0,PG-13,278,2018,140.0,"Action,Adventure,Sci-Fi",7.4,442085,9,producer,Dan Farah
