originalTitle,world_revenue,distributor,opening_theaters,budget,MPAA,release_days,startYear,runtimeMinutes,genres_y,averageRating,numVotes,ordering,category,primaryName
Super 30,24701637,Reliance Big Pictures,317.0,24701637.0,R,173,2019,154.0,"Biography,Drama",7.9,33523,9,producer,Sajid Nadiadwala
Ad Astra,127461872,Twentieth Century Fox,3460.0,90000000.0,PG-13,105,2019,123.0,"Adventure,Drama,Mystery",6.5,239699,9,producer,Jeremy Kleiner
The Art of Self-Defense,2414269,Bleecker Street Media,7.0,2414269.0,R,173,2019,104.0,"Action,Comedy,Crime",6.6,38502,9,producer,Stephanie Whonsetler
Welcome to Marwen,13061491,Universal Pictures,1911.0,13061491.0,PG-13,376,2018,116.0,"Biography,Comedy,Drama",6.2,24570,9,producer,Steve Starkey
Arctic,4124015,Bleecker Street Media,4.0,4165776.0,PG-13,334,2018,98.0,"Adventure,Drama",6.8,53579,9,composer,Joseph Trapanese
Instant Family,120556201,Paramount Pictures,3286.0,48000000.0,PG-13,411,2018,118.0,"Comedy,Drama",7.3,109654,9,composer,Michael Andrews
Kalank,17987034,FIP,320.0,17987034.0,Not Rated,259,2019,166.0,"Drama,Romance",3.5,16995,9,producer,Karan Johar
Fantastic Beasts: The Crimes of Grindelwald,654855901,Warner Bros.,4163.0,200000000.0,PG-13,411,2018,134.0,"Adventure,Family,Fantasy",6.5,287541,9,producer,Lionel Wigram
Saaho,5708522,Yash Raj Films,381.0,5708522.0,R,125,2019,170.0,"Action,Thriller",5.0,20495,9,writer,Anil Kumar Upadyaula
Honey Boy,3400977,Amazon Studios,4.0,3400977.0,R,420,2019,94.0,Drama,7.2,38427,9,producer,Daniela Taplin Lundberg
Bharat,33185983,Viva Pictures,311.0,35261263.0,Not Rated,210,2019,150.0,"Action,Comedy,Drama",4.7,31417,9,producer,Hetvi Karia
Simmba,51329025,Reliance Big Pictures,301.0,51329472.0,R,369,2018,158.0,"Action,Crime,Drama",5.5,23530,9,writer,Sajid
Jay and Silent Bob Reboot,4691248,Saban Films,1.0,4691248.0,R,444,2019,105.0,"Action,Adventure,Comedy",5.6,26538,9,cinematographer,Yaron Levy
The Beach Bum,4554416,Neon,1100.0,4554416.0,R,278,2019,95.0,Comedy,5.5,23134,9,producer,John Lesher
BTS World Tour: Love Yourself in Seoul,10195760,Fathom Events,997.0,10195760.0,R,340,2018,112.0,"Documentary,Music",9.0,1809,8,actor,V
Uri: The Surgical Strike,39346577,PackYourBag Films,101.0,39346577.0,R,355,2019,138.0,"Action,Drama,History",8.2,65446,9,cinematographer,Mitesh Mirchandani
Creed II,214215889,Metro-Goldwyn-Mayer (MGM),3441.0,50000000.0,PG-13,406,2018,130.0,"Action,Drama,Sport",7.1,128614,9,writer,Ryan Coogler
Mission Mangal,5667057,FIP,263.0,5667057.0,R,139,2019,130.0,"Drama,History",6.5,16512,9,writer,Riturraj Tripathii
Replicas,9330075,Entertainment Studios Motion Pictures,2329.0,9330075.0,PG-13,355,2018,107.0,"Drama,Sci-Fi,Thriller",5.4,39447,9,producer,Mark Gao
Linda Ronstadt: The Sound of My Voice,4252657,Greenwich Entertainment,7.0,4252657.0,PG-13,483,2019,95.0,"Biography,Documentary,Music",8.0,2244,9,composer,Julian Raymond
Maiden,3495241,Sony Pictures Classics,6.0,3495241.0,PG,553,2018,97.0,"Biography,Documentary,Sport",7.8,2362,9,cinematographer,Chris Openshaw
Amazing Grace,7796112,Neon,3.0,32120360.0,G,390,2018,89.0,"Documentary,Music",7.5,4794,9,producer,Chiemi Karasawa
The Grinch,511595957,Universal Pictures,4141.0,75000000.0,PG,418,2018,85.0,"Animation,Comedy,Family",6.4,76744,9,writer,Dr. Seuss
Brian Banks,4376819,Bleecker Street Media,1240.0,4376819.0,PG-13,145,2018,99.0,"Biography,Drama,Sport",7.2,7631,9,producer,Shivani Rawat
The Biggest Little Farm,5248412,Neon,5.0,5248412.0,PG,236,2018,91.0,Documentary,8.0,8010,9,cinematographer,Benji Lanpher
Menteur,4697364,Entertainment One,89.0,696639.0,R,175,2019,111.0,Comedy,6.5,948,9,composer,FM Le Sieur
The Oscar Nominated Short Films 2019: Documentary,3538550,Shorts International,270.0,3538550.0,R,327,2019,160.0,Documentary,8.3,9,3,editor,Simon Williamson
War,67179155,Yash Raj Films,305.0,21000000.0,R,93,2019,154.0,"Action,Adventure,Thriller",6.5,26985,9,composer,Ankit Balhara
Echo in the Canyon,3355324,Greenwich Entertainment,2.0,3355324.0,PG-13,222,2018,82.0,"Documentary,Music",7.0,3646,9,cinematographer,Kyle Kibbe
