,Unnamed: 0,originalTitle,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres_x,release_days,tconst,titleType,isAdult,startYear,runtimeMinutes,genres_y,averageRating,numVotes,ordering,nconst,category,job,characters,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
0,0,Super 30,"$2,269,878",24701637,Reliance Big Pictures,"$871,256",317,,,"Biography,Drama",173,tt7485048,movie,0,2019,154,"Biography,Drama",7.9,33523,9,nm0618898,producer,producer,,Sajid Nadiadwala,1966,,"producer,writer,director","tt7518786,tt2372222,tt8366590,tt7721946"
1,1,Ad Astra,"$50,188,370",127461872,Twentieth Century Fox,"$19,001,398","3,460","$90,000,000",PG-13,"Adventure,Drama,Mystery,Sci-Fi,Thriller",105,tt2935510,movie,0,2019,123,"Adventure,Drama,Mystery",6.5,239699,9,nm1250070,producer,producer,,Jeremy Kleiner,,,"producer,miscellaneous","tt2024544,tt1020072,tt4975722,tt7125860"
2,2,The Art of Self-Defense,"$2,410,914",2414269,Bleecker Street Media,"$114,374",7,,R,"Action,Comedy,Crime,Drama,Mystery,Thriller",173,tt7339248,movie,0,2019,104,"Action,Comedy,Crime",6.6,38502,9,nm3442546,producer,producer,,Stephanie Whonsetler,,,"production_manager,miscellaneous,producer","tt6269368,tt10962368,tt7339248,tt4595186"
4,4,Welcome to Marwen,"$10,763,520",13061491,Universal Pictures,"$2,354,205","1,911",,PG-13,"Biography,Comedy,Drama,Fantasy,Romance",376,tt3289724,movie,0,2018,116,"Biography,Comedy,Drama",6.2,24570,9,nm0823330,producer,producer,,Steve Starkey,,,"producer,assistant_director,editorial_department","tt0109830,tt0118884,tt1907668,tt0162222"
5,5,Arctic,"$2,410,795",4124015,Bleecker Street Media,"$50,878",4,,PG-13,"Adventure,Drama",334,tt6820256,movie,0,2018,98,"Adventure,Drama",6.8,53579,9,nm2468967,composer,,,Joseph Trapanese,,,"composer,music_department,soundtrack","tt2908446,tt1483013,tt3410834,tt1485796"
7,7,Instant Family,"$67,363,237",120556201,Paramount Pictures,"$14,504,315","3,286","$48,000,000",PG-13,"Comedy,Drama",411,tt7401588,movie,0,2018,118,"Comedy,Drama",7.3,109654,9,nm0028787,composer,,,Michael Andrews,,,"music_department,composer,soundtrack","tt1284575,tt0246578,tt0841046,tt1478338"
8,8,Kalank,"$2,729,336",17987034,FIP,"$1,276,581",320,,Not Rated,"Drama,Romance",259,tt6988116,movie,0,2019,166,"Drama,Romance",3.5,16995,9,nm0424103,producer,producer,,Karan Johar,1972,,"producer,actor,writer","tt1188996,tt0172684,tt0347304,tt0248126"
10,10,Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901",654855901,Warner Bros.,"$62,163,104","4,163","$200,000,000",PG-13,"Adventure,Family,Fantasy",411,tt4123430,movie,0,2018,134,"Adventure,Family,Fantasy",6.5,287541,9,nm0927880,producer,producer,,Lionel Wigram,1962,,"producer,writer,miscellaneous","tt1638355,tt0988045,tt1972591,tt3183660"
11,11,Saaho,"$2,872,057",5708522,Yash Raj Films,"$1,452,102",381,,,"Action,Thriller",125,tt6836936,movie,0,2019,170,"Action,Thriller",5.0,20495,9,nm9447679,writer,associate head writer,,Anil Kumar Upadyaula,,,"assistant_director,writer",tt6836936
12,12,Honey Boy,"$3,012,615",3400977,Amazon Studios,"$301,065",4,,R,Drama,420,tt8151874,movie,0,2019,94,Drama,7.2,38427,9,nm0815610,producer,producer,,Daniela Taplin Lundberg,,,"producer,executive","tt0842926,tt1365050,tt5691670,tt0838247"
13,13,Bharat,"$2,971,549",33185983,Viva Pictures,"$1,252,301",311,,Not Rated,"Action,Comedy,Drama",210,tt7721800,movie,0,2019,150,"Action,Comedy,Drama",4.7,31417,9,nm11405540,producer,producer,,Hetvi Karia,1999,,"producer,music_department","tt7838252,tt8108198,tt7098658,tt8291224"
14,14,Simmba,"$5,102,129",51329025,Reliance Big Pictures,"$1,758,576",301,,,"Action,Crime,Drama",369,tt7212726,movie,0,2018,158,"Action,Crime,Drama",5.5,23530,9,nm2678319,writer,screenplay,,Sajid,,,"writer,music_department,director","tt1728986,tt1948150,tt2112124,tt4535650"
16,16,Jay and Silent Bob Reboot,"$4,589,490",4691248,Saban Films,"$93,520",1,,R,"Action,Adventure,Comedy",444,tt6521876,movie,0,2019,105,"Action,Adventure,Comedy",5.6,26538,9,nm0506654,cinematographer,,,Yaron Levy,,,"cinematographer,camera_department,miscellaneous","tt1659343,tt4898282,tt0387564,tt3921180"
17,17,The Beach Bum,"$3,502,600",4554416,Neon,"$1,763,070","1,100",,R,Comedy,278,tt6511932,movie,0,2019,95,Comedy,5.5,23134,9,nm0971956,producer,producer,,John Lesher,,,"producer,executive","tt1855199,tt14138650,tt2713180,tt2562232"
18,18,BTS World Tour: Love Yourself in Seoul,"$3,509,917",10195760,Fathom Events,"$2,860,016",997,,,"Documentary,Music",340,tt9448868,movie,0,2018,112,"Documentary,Music",9.0,1809,8,nm6229009,actor,,,V,1995,,"actor,soundtrack,composer","tt11239552,tt5646594"
19,19,Uri: The Surgical Strike,"$4,186,168",39346577,PackYourBag Films,"$631,146",101,,,"Action,Drama,History,War",355,tt8291224,movie,0,2019,138,"Action,Drama,History",8.2,65446,9,nm3938507,cinematographer,,,Mitesh Mirchandani,1989,,"cinematographer,camera_department,assistant_director","tt5448726,tt8291224,tt8439854,tt5286444"
21,21,Creed II,"$115,715,889",214215889,Metro-Goldwyn-Mayer (MGM),"$35,574,710","3,441","$50,000,000",PG-13,"Action,Drama,Sport",406,tt6343314,movie,0,2018,130,"Action,Drama,Sport",7.1,128614,9,nm3363032,writer,characters,,Ryan Coogler,1986,,"producer,writer,director","tt2334649,tt3076658,tt9114286,tt1825683"
22,22,Mission Mangal,"$3,659,413",5667057,FIP,"$1,365,006",263,,,"Drama,History",139,tt9248972,movie,0,2019,130,"Drama,History",6.5,16512,9,nm4003994,writer,Dialogue supervisor,,Riturraj Tripathii,,,"writer,assistant_director","tt9248972,tt0995718,tt4581722,tt1744641"
23,23,Replicas,"$4,046,429",9330075,Entertainment Studios Motion Pictures,"$2,375,325","2,329",,PG-13,"Drama,Sci-Fi,Thriller",355,tt4154916,movie,0,2018,107,"Drama,Sci-Fi,Thriller",5.4,39447,9,nm3640199,producer,producer,,Mark Gao,,,"producer,writer","tt2938956,tt2239822,tt4154916,tt1915545"
24,24,Linda Ronstadt: The Sound of My Voice,"$4,252,657",4252657,Greenwich Entertainment,"$113,235",7,,PG-13,"Biography,Documentary,Music",483,tt10011448,movie,0,2019,95,"Biography,Documentary,Music",8.0,2244,9,nm0713305,composer,,,Julian Raymond,,,"soundtrack,composer,producer","tt2049586,tt0115986,tt0196229,tt10011448"
25,25,Maiden,"$3,168,978",3495241,Sony Pictures Classics,"$46,931",6,,PG,"Biography,Documentary,Sport",553,tt8879946,movie,0,2018,97,"Biography,Documentary,Sport",7.8,2362,9,nm0649069,cinematographer,,,Chris Openshaw,,,"cinematographer,camera_department,visual_effects","tt2403616,tt0836894,tt0958523,tt4718274"
27,27,Amazing Grace,"$4,450,456",7796112,Neon,"$57,353",3,,G,"Documentary,Music",390,tt4935462,movie,0,2018,89,"Documentary,Music",7.5,4794,9,nm0438957,producer,producer,,Chiemi Karasawa,1968,,"script_department,producer,miscellaneous","tt1111422,tt2405792,tt0106307,tt0146882"
30,30,The Grinch,"$270,620,950",511595957,Universal Pictures,"$67,572,855","4,141","$75,000,000",PG,"Animation,Comedy,Family,Fantasy,Musical",418,tt2709692,movie,0,2018,85,"Animation,Comedy,Family",6.4,76744,9,nm0317450,writer,"based on the book ""How The Grinch Stole Christmas"" by",,Dr. Seuss,1904,1991,"writer,soundtrack,producer","tt0248875,tt1482459,tt0170016,tt2709692"
31,31,Brian Banks,"$4,376,819",4376819,Bleecker Street Media,"$2,156,272","1,240",,PG-13,"Biography,Drama,Sport",145,tt3920820,movie,0,2018,99,"Biography,Drama,Sport",7.2,7631,9,nm2961544,producer,producer,,Shivani Rawat,,,"producer,executive,actress","tt1070874,tt3758814,tt3553976,tt3203606"
32,32,The Biggest Little Farm,"$4,366,949",5248412,Neon,"$110,492",5,,PG,Documentary,236,tt8969332,movie,0,2018,91,Documentary,8.0,8010,9,nm3960604,cinematographer,,,Benji Lanpher,,,"camera_department,cinematographer,actor","tt9684220,tt2964642,tt13143964,tt6466542"
34,34,Menteur,"$4,697,364",4697364,Entertainment One,"$607,229",89,,,Comedy,175,tt9487594,movie,0,2019,111,Comedy,6.5,948,9,nm0494623,composer,,,FM Le Sieur,,,"composer,soundtrack,music_department","tt3501112,tt9487594,tt1595680"
35,35,The Oscar Nominated Short Films 2019: Documentary,"$3,531,094",3538550,Shorts International,"$938,455",270,,,Documentary,327,tt9724318,movie,0,2019,,Documentary,8.3,9,3,nm5773403,editor,,,Simon Williamson,,,"visual_effects,editor,editorial_department","tt2821888,tt6621440,tt7935892,tt8285424"
36,36,War,"$4,654,000",67179155,Yash Raj Films,"$1,607,627",305,"$21,000,000",,"Action,Adventure,Thriller",93,tt7430722,movie,0,2019,154,"Action,Adventure,Thriller",6.5,26985,9,nm5471898,composer,,,Ankit Balhara,,,"writer,composer,actor","tt12844910,tt5935704,tt7430722,tt10083340"
